NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	209	0.40388963	2.0343826	0.0	0.0	0.0	5436	tags=51%, list=30%, signal=72%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	226	0.37667194	1.9176596	0.0	0.00490118	0.007	4621	tags=36%, list=26%, signal=48%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	207	0.3551416	1.7940383	0.0	0.0060877707	0.013	4781	tags=39%, list=27%, signal=52%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	41	0.45970106	1.7689952	0.006122449	0.006182327	0.017	2508	tags=32%, list=14%, signal=37%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	180	0.34068978	1.6653652	0.0	0.013821848	0.048	3827	tags=35%, list=21%, signal=44%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	81	0.37926129	1.6609892	0.0	0.012029074	0.05	3320	tags=38%, list=19%, signal=47%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	59	0.3979049	1.6145461	0.004056795	0.016717345	0.082	1977	tags=25%, list=11%, signal=28%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	200	0.31718206	1.591534	0.0	0.017962867	0.102	3904	tags=31%, list=22%, signal=39%	
FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	Details ...	74	0.3743181	1.5787932	0.014553014	0.018391488	0.114	5398	tags=42%, list=30%, signal=60%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	220	0.30003163	1.5252881	0.0	0.024717921	0.166	4982	tags=37%, list=28%, signal=50%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	220	0.3021574	1.5207974	0.0040899795	0.023868391	0.176	4338	tags=39%, list=24%, signal=50%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	186	0.30248642	1.50168	0.002096436	0.026488548	0.206	5808	tags=43%, list=32%, signal=63%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	208	0.30146807	1.4987487	0.0019762847	0.025393667	0.211	4083	tags=35%, list=23%, signal=45%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	95	0.3326725	1.4918029	0.012024048	0.024491448	0.22	5723	tags=42%, list=32%, signal=62%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	189	0.2974452	1.4838731	0.0041067763	0.024581593	0.234	5366	tags=35%, list=30%, signal=49%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	58	0.35072803	1.4355637	0.03875969	0.03668735	0.353	4433	tags=33%, list=25%, signal=43%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	112	0.28028345	1.2964325	0.057494868	0.1197603	0.786	3480	tags=29%, list=19%, signal=36%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	165	0.2626755	1.2876427	0.04563492	0.12249545	0.813	4316	tags=31%, list=24%, signal=40%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	209	0.25680217	1.2859665	0.04288499	0.11801118	0.817	4497	tags=33%, list=25%, signal=43%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	55	0.31330657	1.2805291	0.09643606	0.116603784	0.831	2342	tags=22%, list=13%, signal=25%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		223	0.24651761	1.2524915	0.046	0.1417997	0.887	3780	tags=30%, list=21%, signal=38%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		116	0.252945	1.1594427	0.16837782	0.2726253	0.989	3872	tags=28%, list=22%, signal=36%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		181	0.23050082	1.1389723	0.16346154	0.30066976	0.995	3740	tags=26%, list=21%, signal=32%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		202	0.2209914	1.1001022	0.22845691	0.3734056	0.997	2167	tags=16%, list=12%, signal=18%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		124	0.23609494	1.0946128	0.2566735	0.37085503	0.998	3712	tags=25%, list=21%, signal=31%	
